LAD08CD,LAD08NM,LEA08CD,LEA08NM,
00AA,City of London,201,City of London,
00AB,Barking and Dagenham,301,Barking and Dagenham,
00AC,Barnet,302,Barnet,
00AD,Bexley,303,Bexley,
00AE,Brent,304,Brent,
00AF,Bromley,305,Bromley,
00AG,Camden,202,Camden,
00AH,Croydon,306,Croydon,
00AJ,Ealing,307,Ealing,
00AK,Enfield,308,Enfield,
00AL,Greenwich,203,Greenwich,
00AM,Hackney,204,Hackney,
00AN,Hammersmith and Fulham,205,Hammersmith and Fulham,
00AP,Haringey,309,Haringey,
00AQ,Harrow,310,Harrow,
00AR,Havering,311,Havering,
00AS,Hillingdon,312,Hillingdon,
00AT,Hounslow,313,Hounslow,
00AU,Islington,206,Islington,
00AW,Kensington and Chelsea,207,Kensington and Chelsea,
00AX,Kingston upon Thames,314,Kingston upon Thames,
00AY,Lambeth,208,Lambeth,
00AZ,Lewisham,209,Lewisham,
00BA,Merton,315,Merton,
00BB,Newham,316,Newham,
00BC,Redbridge,317,Redbridge,
00BD,Richmond upon Thames,318,Richmond upon Thames,
00BE,Southwark,210,Southwark,
00BF,Sutton,319,Sutton,
00BG,Tower Hamlets,211,Tower Hamlets,
00BH,Waltham Forest,320,Waltham Forest,
00BJ,Wandsworth,212,Wandsworth,
00BK,Westminster,213,Westminster,
00BL,Bolton,350,Bolton,
00BM,Bury,351,Bury,
00BN,Manchester,352,Manchester,
00BP,Oldham,353,Oldham,
00BQ,Rochdale,354,Rochdale,
00BR,Salford,355,Salford,
00BS,Stockport,356,Stockport,
00BT,Tameside,357,Tameside,
00BU,Trafford,358,Trafford,
00BW,Wigan,359,Wigan,
00BX,Knowsley,340,Knowsley,
00BY,Liverpool,341,Liverpool,
00BZ,St. Helens,342,St Helens,
00CA,Sefton,343,Sefton,
00CB,Wirral,344,Wirral,
00CC,Barnsley,370,Barnsley,
00CE,Doncaster,371,Doncaster,
00CF,Rotherham,372,Rotherham,
00CG,Sheffield,373,Sheffield,
00CH,Gateshead,390,Gateshead,
00CJ,Newcastle upon Tyne,391,Newcastle upon Tyne,
00CK,North Tyneside,392,North Tyneside,
00CL,South Tyneside,393,South Tyneside,
00CM,Sunderland,394,Sunderland,
00CN,Birmingham,330,Birmingham,
00CQ,Coventry,331,Coventry,
00CR,Dudley,332,Dudley,
00CS,Sandwell,333,Sandwell,
00CT,Solihull,334,Solihull,
00CU,Walsall,335,Walsall,
00CW,Wolverhampton,336,Wolverhampton,
00CX,Bradford,380,Bradford,
00CY,Calderdale,381,Calderdale,
00CZ,Kirklees,382,Kirklees,
00DA,Leeds,383,Leeds,
00DB,Wakefield,384,Wakefield,
00EB,Hartlepool,805,Hartlepool,
00EC,Middlesbrough,806,Middlesbrough,
00EE,Redcar and Cleveland,807,Redcar and Cleveland,
00EF,Stockton-on-Tees,808,Stockton-on-Tees,
00EH,Darlington,841,Darlington,
00ET,Halton,876,Halton,
00EU,Warrington,877,Warrington,
00EX,Blackburn with Darwen,889,Blackburn with Darwen,
00EY,Blackpool,890,Blackpool,
00FA,"Kingston upon Hull, City of",810,Kingston upon Hull,
00FB,East Riding of Yorkshire,811,East Riding of Yorkshire,
00FC,North East Lincolnshire,812,North East Lincolnshire,
00FD,North Lincolnshire,813,North Lincolnshire,
00FF,York,816,York,
00FK,Derby,831,Derby,
00FN,Leicester,856,Leicester,
00FP,Rutland,857,Rutland,
00FY,Nottingham,892,Nottingham,
00GA,"Herefordshire, County of",884,Herefordshire,
00GF,Telford and Wrekin,894,Telford and Wrekin,
00GL,Stoke-on-Trent,861,Stoke-on-Trent,
00HA,Bath and North East Somerset,800,Bath and North East Somerset,
00HB,"Bristol, City of",801,Bristol,
00HC,North Somerset,802,North Somerset,
00HD,South Gloucestershire,803,South Gloucestershire,
00HG,Plymouth,879,Plymouth,
00HH,Torbay,880,Torbay,
00HN,Bournemouth,837,Bournemouth,
00HP,Poole,836,Poole,
00HX,Swindon,866,Swindon,
00JA,Peterborough,874,Peterborough,
00KA,Luton,821,Luton,
00KF,Southend-on-Sea,882,Southend on Sea,
00KG,Thurrock,883,Thurrock,
00LC,Medway,887,Medway,
00MA,Bracknell Forest,867,Bracknell Forest,
00MB,West Berkshire,869,West Berkshire,
00MC,Reading,870,Reading,
00MD,Slough,871,Slough,
00ME,Windsor and Maidenhead,868,Windsor and Maidenhead,
00MF,Wokingham,872,Wokingham,
00MG,Milton Keynes,826,Milton Keynes,
00ML,Brighton and Hove,846,Brighton and Hove,
00MR,Portsmouth,851,Portsmouth,
00MS,Southampton,852,Southampton,
00MW,Isle of Wight,921,Isle of Wight,
00NA,Isle of Anglesey,660,Isle of Anglesey,
00NC,Gwynedd,661,Gwynedd,
00NE,Conwy,662,Conwy,
00NG,Denbighshire,663,Denbighshire,
00NJ,Flintshire,664,Flintshire,
00NL,Wrexham,665,Wrexham,
00NN,Powys,666,Powys,
00NQ,Ceredigion,667,Ceredigion,
00NS,Pembrokeshire,668,Pembrokeshire,
00NU,Carmarthenshire,669,Carmarthenshire,
00NX,Swansea,670,Swansea,
00NZ,Neath Port Talbot,671,Neath Port Talbot,
00PB,Bridgend,672,Bridgend,
00PD,The Vale of Glamorgan,673,Vale of Glamorgan,
00PF,"Rhondda, Cynon, Taff",674,"Rhondda, Cynon, Taff",
00PH,Merthyr Tydfil,675,Merthyr Tydfil,
00PK,Caerphilly,676,Caerphilly,
00PL,Blaenau Gwent,677,Blaenau Gwent,
00PM,Torfaen,678,Torfaen,
00PP,Monmouthshire,679,Monmouthshire,
00PR,Newport,680,Newport,
00PT,Cardiff,681,Cardiff,
09UC,Mid Bedfordshire,820,Bedfordshire,
09UD,Bedford,820,Bedfordshire,
09UE,South Bedfordshire,820,Bedfordshire,
11UB,Aylesbury Vale,825,Buckinghamshire,
11UC,Chiltern,825,Buckinghamshire,
11UE,South Bucks,825,Buckinghamshire,
11UF,Wycombe,825,Buckinghamshire,
12UB,Cambridge,873,Cambridgeshire,
12UC,East Cambridgeshire,873,Cambridgeshire,
12UD,Fenland,873,Cambridgeshire,
12UE,Huntingdonshire,873,Cambridgeshire,
12UG,South Cambridgeshire,873,Cambridgeshire,
13UB,Chester,875,Cheshire,
13UC,Congleton,875,Cheshire,
13UD,Crewe and Nantwich,875,Cheshire,
13UE,Ellesmere Port & Neston,875,Cheshire,
13UG,Macclesfield,875,Cheshire,
13UH,Vale Royal,875,Cheshire,
15UB,Caradon,908,Cornwall,
15UC,Carrick,908,Cornwall,
15UD,Kerrier,908,Cornwall,
15UE,North Cornwall,908,Cornwall,
15UF,Penwith,908,Cornwall,
15UG,Restormel,908,Cornwall,
15UH,Isles of Scilly,420,Isles of Scilly,
16UB,Allerdale,909,Cumbria,
16UC,Barrow-in-Furness,909,Cumbria,
16UD,Carlisle,909,Cumbria,
16UE,Copeland,909,Cumbria,
16UF,Eden,909,Cumbria,
16UG,South Lakeland,909,Cumbria,
17UB,Amber Valley,830,Derbyshire,
17UC,Bolsover,830,Derbyshire,
17UD,Chesterfield,830,Derbyshire,
17UF,Derbyshire Dales,830,Derbyshire,
17UG,Erewash,830,Derbyshire,
17UH,High Peak,830,Derbyshire,
17UJ,North East Derbyshire,830,Derbyshire,
17UK,South Derbyshire,830,Derbyshire,
18UB,East Devon,878,Devon,
18UC,Exeter,878,Devon,
18UD,Mid Devon,878,Devon,
18UE,North Devon,878,Devon,
18UG,South Hams,878,Devon,
18UH,Teignbridge,878,Devon,
18UK,Torridge,878,Devon,
18UL,West Devon,878,Devon,
19UC,Christchurch,835,Dorset,
19UD,East Dorset,835,Dorset,
19UE,North Dorset,835,Dorset,
19UG,Purbeck,835,Dorset,
19UH,West Dorset,835,Dorset,
19UJ,Weymouth and Portland,835,Dorset,
20UB,Chester-le-Street,840,Durham,
20UD,Derwentside,840,Durham,
20UE,Durham,840,Durham,
20UF,Easington,840,Durham,
20UG,Sedgefield,840,Durham,
20UH,Teesdale,840,Durham,
20UJ,Wear Valley,840,Durham,
21UC,Eastbourne,845,East Sussex,
21UD,Hastings,845,East Sussex,
21UF,Lewes,845,East Sussex,
21UG,Rother,845,East Sussex,
21UH,Wealden,845,East Sussex,
22UB,Basildon,881,Essex,
22UC,Braintree,881,Essex,
22UD,Brentwood,881,Essex,
22UE,Castle Point,881,Essex,
22UF,Chelmsford,881,Essex,
22UG,Colchester,881,Essex,
22UH,Epping Forest,881,Essex,
