PAR08CD,PAR08NM,WD08CD,WD08NM,
00CA005,Maghull,00CAHP,Molyneux,
00CA005,Maghull,00CAHS,Park,
00CA005,Maghull,00CAHW,Sudell,
00CA006,Melling,00CAHP,Molyneux,
00CA007,Sefton,00CAHM,Manor,
00CA007,Sefton,00CAHS,Park,
00CA008,Thornton,00CAHM,Manor,
00CA009,Hightown,00CAHM,Manor,
00CA010,Formby,00CAHT,Ravenmeols,
00CA010,Formby,00CAHH,Harington,
00CC001,Billingley,00CCGB,Darfield,
00CC002,Brierley,00CCGL,North East,
00CC003,Cawthorne,00CCGN,Penistone East,
00CC004,Dunford,00CCGP,Penistone West,
00CC005,Great Houghton,00CCGL,North East,
00CC006,Gunthwaite and Ingbirchworth,00CCGP,Penistone West,
00CC007,High Hoyland,00CCGN,Penistone East,
00CC008,Hunshelf,00CCGN,Penistone East,
00CC009,Langsett,00CCGP,Penistone West,
00CC010,Little Houghton,00CCGB,Darfield,
00CC011,Oxspring,00CCGN,Penistone East,
00CC012,Penistone,00CCGN,Penistone East,
00CC012,Penistone,00CCGP,Penistone West,
00CC013,Shafton,00CCGL,North East,
00CC014,Silkstone,00CCGN,Penistone East,
00CC015,Stainborough,00CCGN,Penistone East,
00CC016,Tankersley,00CCGN,Penistone East,
00CC017,Thurgoland,00CCGN,Penistone East,
00CC018,Wortley,00CCGN,Penistone East,
00CE001,Adwick upon Dearne,00CEGP,Sprotbrough,
00CE001,Adwick upon Dearne,00CEGM,Mexborough,
00CE002,Armthorpe,00CEFZ,Armthorpe,
00CE003,Askern,00CEGA,Askern Spa,
00CE004,Auckley,00CEGJ,Finningley,
00CE005,Austerfield,00CEGS,Torne Valley,
00CE006,Barnburgh,00CEGP,Sprotbrough,
00CE007,Barnby Dun with Kirk Sandall,00CEGG,"Edenthorpe, Kirk Sandall and Barnby Dun",
00CE008,Bawtry,00CEGS,Torne Valley,
00CE009,Blaxton,00CEGJ,Finningley,
00CE010,Braithwell,00CEGS,Torne Valley,
00CE011,Brodsworth,00CEGK,Great North Road,
00CE011,Brodsworth,00CEGP,Sprotbrough,
00CE012,Burghwallis,00CEGA,Askern Spa,
00CE013,Cadeby,00CEGP,Sprotbrough,
00CE014,Cantley,00CEGJ,Finningley,
00CE015,Clayton with Frickley,00CEGP,Sprotbrough,
00CE016,Conisbrough Parks,00CEGH,Edlington and Warmsworth,
00CE016,Conisbrough Parks,00CEGS,Torne Valley,
00CE017,Denaby,00CEGF,Conisbrough and Denaby,
00CE018,Edenthorpe,00CEGG,"Edenthorpe, Kirk Sandall and Barnby Dun",
00CE019,Edlington,00CEGH,Edlington and Warmsworth,
00CE020,Fenwick,00CEGQ,Stainforth and Moorends,
00CE021,Finningley,00CEGJ,Finningley,
00CE022,Fishlake,00CEGQ,Stainforth and Moorends,
