PCON08CD,PCON08NM,EER08CD,EER08NM,
001,Aldershot,08,South East,
002,Aldridge-Brownhills,05,West Midlands,
003,Altrincham and Sale West,02,North West,
004,Amber Valley,04,East Midlands,
005,Arundel and South Downs,08,South East,
006,Ashfield,04,East Midlands,
007,Ashford,08,South East,
008,Ashton under Lyne,02,North West,
009,Aylesbury,08,South East,
010,Banbury,08,South East,
011,Barking,07,London,
012,Barnsley Central,03,Yorkshire and The Humber,
013,Barnsley East and Mexborough,03,Yorkshire and The Humber,
014,Barnsley West and Penistone,03,Yorkshire and The Humber,
015,Barrow and Furness,02,North West,
016,Basildon,06,Eastern,
017,Basingstoke,08,South East,
018,Bassetlaw,04,East Midlands,
019,Bath,09,South West,
020,Batley and Spen,03,Yorkshire and The Humber,
021,Battersea,07,London,
022,Beaconsfield,08,South East,
023,Beckenham,07,London,
024,Bedford,06,Eastern,
025,Berwick-upon-Tweed,01,North East,
026,Bethnal Green and Bow,07,London,
027,Beverley and Holderness,03,Yorkshire and The Humber,
028,Bexhill and Battle,08,South East,
029,Bexleyheath and Crayford,07,London,
030,Billericay,06,Eastern,
031,Birkenhead,02,North West,
032,"Birmingham, Edgbaston",05,West Midlands,
033,"Birmingham, Erdington",05,West Midlands,
034,"Birmingham, Hall Green",05,West Midlands,
035,"Birmingham, Hodge Hill",05,West Midlands,
036,"Birmingham, Ladywood",05,West Midlands,
037,"Birmingham, Northfield",05,West Midlands,
038,"Birmingham, Perry Barr",05,West Midlands,
039,"Birmingham, Selly Oak",05,West Midlands,
040,"Birmingham, Sparkbrook and Small Heath",05,West Midlands,
041,"Birmingham, Yardley",05,West Midlands,
042,Bishop Auckland,01,North East,
043,Blaby,04,East Midlands,
044,Blackburn,02,North West,
045,Blackpool North and Fleetwood,02,North West,
046,Blackpool South,02,North West,
047,Blaydon,01,North East,
048,Blyth Valley,01,North East,
049,Bognor Regis and Littlehampton,08,South East,
050,Bolsover,04,East Midlands,
051,Bolton North East,02,North West,
052,Bolton South East,02,North West,
053,Bolton West,02,North West,
054,Bootle,02,North West,
055,Boston and Skegness,04,East Midlands,
056,Bosworth,04,East Midlands,
057,Bournemouth East,09,South West,
058,Bournemouth West,09,South West,
059,Bracknell,08,South East,
060,Bradford North,03,Yorkshire and The Humber,
061,Bradford South,03,Yorkshire and The Humber,
062,Bradford West,03,Yorkshire and The Humber,
063,Braintree,06,Eastern,
064,Brent East,07,London,
065,Brent North,07,London,
066,Brent South,07,London,
067,Brentford and Isleworth,07,London,
068,Brentwood and Ongar,06,Eastern,
069,Bridgwater,09,South West,
070,Brigg and Goole,03,Yorkshire and The Humber,
071,"Brighton, Kemptown",08,South East,
072,"Brighton, Pavilion",08,South East,
073,Bristol East,09,South West,
074,Bristol North West,09,South West,
075,Bristol South,09,South West,
076,Bristol West,09,South West,
077,Bromley and Chislehurst,07,London,
078,Bromsgrove,05,West Midlands,
079,Broxbourne,06,Eastern,
080,Broxtowe,04,East Midlands,
081,Buckingham,08,South East,
082,Burnley,02,North West,
083,Burton,05,West Midlands,
084,Bury North,02,North West,
085,Bury South,02,North West,
086,Bury St. Edmunds,06,Eastern,
087,Calder Valley,03,Yorkshire and The Humber,
088,Camberwell and Peckham,07,London,
089,Cambridge,06,Eastern,
090,Cannock Chase,05,West Midlands,
091,Canterbury,08,South East,
092,Carlisle,02,North West,
093,Carshalton and Wallington,07,London,
094,Castle Point,06,Eastern,
095,Central Suffolk and North Ipswich,06,Eastern,
096,Charnwood,04,East Midlands,
097,Chatham and Aylesford,08,South East,
098,Cheadle,02,North West,
099,Cheltenham,09,South West,
100,Chesham and Amersham,08,South East,
101,Chesterfield,04,East Midlands,
102,Chichester,08,South East,
103,Chingford and Woodford Green,07,London,
104,Chipping Barnet,07,London,
105,Chorley,02,North West,
106,Christchurch,09,South West,
107,Cities of London and Westminster,07,London,
108,City of Chester,02,North West,
109,City of Durham,01,North East,
110,City of York,03,Yorkshire and The Humber,
111,Cleethorpes,03,Yorkshire and The Humber,
112,Colchester,06,Eastern,
113,Colne Valley,03,Yorkshire and The Humber,
114,Congleton,02,North West,
115,Copeland,02,North West,
116,Corby,04,East Midlands,
117,Cotswold,09,South West,
118,Coventry North East,05,West Midlands,
119,Coventry North West,05,West Midlands,
120,Coventry South,05,West Midlands,
121,Crawley,08,South East,
122,Crewe and Nantwich,02,North West,
123,Crosby,02,North West,
124,Croydon Central,07,London,
125,Croydon North,07,London,
126,Croydon South,07,London,
127,Dagenham,07,London,
128,Darlington,01,North East,
129,Dartford,08,South East,
130,Daventry,04,East Midlands,
131,Denton and Reddish,02,North West,
132,Derby North,04,East Midlands,
133,Derby South,04,East Midlands,
134,Devizes,09,South West,
135,Dewsbury,03,Yorkshire and The Humber,
136,Doncaster Central,03,Yorkshire and The Humber,
137,Doncaster North,03,Yorkshire and The Humber,
138,Don Valley,03,Yorkshire and The Humber,
139,Dover,08,South East,
140,Dudley North,05,West Midlands,
141,Dudley South,05,West Midlands,
142,Dulwich and West Norwood,07,London,
143,"Ealing, Acton and Shepherd's Bush",07,London,
144,Ealing North,07,London,
145,"Ealing, Southall",07,London,
146,Easington,01,North East,
147,East Devon,09,South West,
148,East Ham,07,London,
149,East Hampshire,08,South East,
150,East Surrey,08,South East,
151,East Worthing and Shoreham,08,South East,
152,East Yorkshire,03,Yorkshire and The Humber,
153,Eastbourne,08,South East,
154,Eastleigh,08,South East,
155,Eccles,02,North West,
156,Eddisbury,02,North West,
157,Edmonton,07,London,
158,Ellesmere Port and Neston,02,North West,
159,Elmet,03,Yorkshire and The Humber,
160,Eltham,07,London,
161,Enfield North,07,London,
162,"Enfield, Southgate",07,London,
163,Epping Forest,06,Eastern,
164,Epsom and Ewell,08,South East,
165,Erewash,04,East Midlands,
166,Erith and Thamesmead,07,London,
167,Esher and Walton,08,South East,
168,Exeter,09,South West,
169,Falmouth and Camborne,09,South West,
170,Fareham,08,South East,
171,Faversham and Mid Kent,08,South East,
172,Feltham and Heston,07,London,
173,Finchley and Golders Green,07,London,
174,Folkestone and Hythe,08,South East,
175,Forest of Dean,09,South West,
176,Fylde,02,North West,
177,Gainsborough,04,East Midlands,
178,Gateshead East and Washington West,01,North East,
179,Gedling,04,East Midlands,
180,Gillingham,08,South East,
181,Gloucester,09,South West,
182,Gosport,08,South East,
183,Grantham and Stamford,04,East Midlands,
184,Gravesham,08,South East,
185,Great Grimsby,03,Yorkshire and The Humber,
186,Great Yarmouth,06,Eastern,
187,Greenwich and Woolwich,07,London,
188,Guildford,08,South East,
189,Hackney North and Stoke Newington,07,London,
190,Hackney South and Shoreditch,07,London,
191,Halesowen and Rowley Regis,05,West Midlands,
192,Halifax,03,Yorkshire and The Humber,
193,Haltemprice and Howden,03,Yorkshire and The Humber,
194,Halton,02,North West,
195,Hammersmith and Fulham,07,London,
196,Hampstead and Highgate,07,London,
197,Harborough,04,East Midlands,
198,Harlow,06,Eastern,
199,Harrogate and Knaresborough,03,Yorkshire and The Humber,
200,Harrow East,07,London,
201,Harrow West,07,London,
202,Hartlepool,01,North East,
203,Harwich,06,Eastern,
204,Hastings and Rye,08,South East,
205,Havant,08,South East,
206,Hayes and Harlington,07,London,
207,Hazel Grove,02,North West,
208,Hemel Hempstead,06,Eastern,
209,Hemsworth,03,Yorkshire and The Humber,
210,Hendon,07,London,
211,Henley,08,South East,
212,Hereford,05,West Midlands,
213,Hertford and Stortford,06,Eastern,
214,Hertsmere,06,Eastern,
215,Hexham,01,North East,
216,Heywood and Middleton,02,North West,
217,High Peak,04,East Midlands,
218,Hitchin and Harpenden,06,Eastern,
219,Holborn and St. Pancras,07,London,
220,Hornchurch,07,London,
221,Hornsey and Wood Green,07,London,
222,Horsham,08,South East,
223,Houghton and Washington East,01,North East,
224,Hove,08,South East,
225,Huddersfield,03,Yorkshire and The Humber,
226,Huntingdon,06,Eastern,
227,Hyndburn,02,North West,
228,Ilford North,07,London,
229,Ilford South,07,London,
230,Ipswich,06,Eastern,
231,Isle of Wight,08,South East,
232,Islington North,07,London,
233,Islington South and Finsbury,07,London,
234,Jarrow,01,North East,
235,Keighley,03,Yorkshire and The Humber,
236,Kensington and Chelsea,07,London,
237,Kettering,04,East Midlands,
238,Kingston and Surbiton,07,London,
239,Kingston upon Hull East,03,Yorkshire and The Humber,
240,Kingston upon Hull North,03,Yorkshire and The Humber,
241,Kingston upon Hull West and Hessle,03,Yorkshire and The Humber,
242,Kingswood,09,South West,
243,Knowsley North and Sefton East,02,North West,
244,Knowsley South,02,North West,
245,Lancaster and Wyre,02,North West,
246,Leeds Central,03,Yorkshire and The Humber,
247,Leeds East,03,Yorkshire and The Humber,
248,Leeds North East,03,Yorkshire and The Humber,
249,Leeds North West,03,Yorkshire and The Humber,
250,Leeds West,03,Yorkshire and The Humber,
251,Leicester East,04,East Midlands,
252,Leicester South,04,East Midlands,
253,Leicester West,04,East Midlands,
254,Leigh,02,North West,
255,Leominster,05,West Midlands,
256,Lewes,08,South East,
257,"Lewisham, Deptford",07,London,
258,Lewisham East,07,London,
259,Lewisham West,07,London,
260,Leyton and Wanstead,07,London,
261,Lichfield,05,West Midlands,
262,Lincoln,04,East Midlands,
263,"Liverpool, Garston",02,North West,
264,"Liverpool, Riverside",02,North West,
265,"Liverpool, Walton",02,North West,
266,"Liverpool, Wavertree",02,North West,
267,"Liverpool, West Derby",02,North West,
268,Loughborough,04,East Midlands,
269,Louth and Horncastle,04,East Midlands,
270,Ludlow,05,West Midlands,
271,Luton North,06,Eastern,
272,Luton South,06,Eastern,
273,Macclesfield,02,North West,
274,Maidenhead,08,South East,
275,Maidstone and The Weald,08,South East,
276,Makerfield,02,North West,
277,Maldon and East Chelmsford,06,Eastern,
278,"Manchester, Blackley",02,North West,
279,Manchester Central,02,North West,
280,"Manchester, Gorton",02,North West,
281,"Manchester, Withington",02,North West,
282,Mansfield,04,East Midlands,
283,Medway,08,South East,
284,Meriden,05,West Midlands,
285,Mid Bedfordshire,06,Eastern,
286,Mid Dorset and North Poole,09,South West,
287,Mid Norfolk,06,Eastern,
288,Mid Sussex,08,South East,
289,Mid Worcestershire,05,West Midlands,
290,Middlesbrough,01,North East,
291,Middlesbrough South and East Cleveland,01,North East,
292,Milton Keynes South West,08,South East,
293,Mitcham and Morden,07,London,
294,Mole Valley,08,South East,
295,Morecambe and Lunesdale,02,North West,
296,Morley and Rothwell,03,Yorkshire and The Humber,
297,New Forest East,08,South East,
298,New Forest West,08,South East,
299,Newark,04,East Midlands,
300,Newbury,08,South East,
301,Newcastle upon Tyne Central,01,North East,
302,Newcastle upon Tyne East and Wallsend,01,North East,
303,Newcastle upon Tyne North,01,North East,
304,Newcastle-under-Lyme,05,West Midlands,
305,Normanton,03,Yorkshire and The Humber,
306,North Cornwall,09,South West,
307,North Devon,09,South West,
308,North Dorset,09,South West,
309,North Durham,01,North East,
310,North East Bedfordshire,06,Eastern,
311,North East Cambridgeshire,06,Eastern,
312,North East Derbyshire,04,East Midlands,
313,North East Hampshire,08,South East,
314,North East Hertfordshire,06,Eastern,
315,North East Milton Keynes,08,South East,
316,North Essex,06,Eastern,
317,North Norfolk,06,Eastern,
318,North Shropshire,05,West Midlands,
319,North Southwark and Bermondsey,07,London,
320,North Swindon,09,South West,
321,North Thanet,08,South East,
322,North Tyneside,01,North East,
323,North Warwickshire,05,West Midlands,
324,North West Cambridgeshire,06,Eastern,
325,North West Durham,01,North East,
326,North West Hampshire,08,South East,
327,North West Leicestershire,04,East Midlands,
328,North West Norfolk,06,Eastern,
329,North Wiltshire,09,South West,
330,Northampton North,04,East Midlands,
331,Northampton South,04,East Midlands,
332,Northavon,09,South West,
333,Norwich North,06,Eastern,
334,Norwich South,06,Eastern,
335,Nottingham East,04,East Midlands,
336,Nottingham North,04,East Midlands,
337,Nottingham South,04,East Midlands,
338,Nuneaton,05,West Midlands,
339,Old Bexley and Sidcup,07,London,
340,Oldham East and Saddleworth,02,North West,
341,Oldham West and Royton,02,North West,
342,Orpington,07,London,
343,Oxford East,08,South East,
344,Oxford West and Abingdon,08,South East,
345,Pendle,02,North West,
346,Penrith and The Border,02,North West,
347,Peterborough,06,Eastern,
348,"Plymouth, Devonport",09,South West,
349,"Plymouth, Sutton",09,South West,
350,Pontefract and Castleford,03,Yorkshire and The Humber,
351,Poole,09,South West,
352,Poplar and Canning Town,07,London,
353,Portsmouth North,08,South East,
354,Portsmouth South,08,South East,
355,Preston,02,North West,
356,Pudsey,03,Yorkshire and The Humber,
357,Putney,07,London,
358,Rayleigh,06,Eastern,
359,Reading East,08,South East,
360,Reading West,08,South East,
361,Redcar,01,North East,
362,Redditch,05,West Midlands,
363,Regent's Park and North Kensington,07,London,
364,Reigate,08,South East,
365,Ribble Valley,02,North West,
366,Richmond (Yorks),03,Yorkshire and The Humber,
367,Richmond Park,07,London,
368,Rochdale,02,North West,
369,Rochford and Southend East,06,Eastern,
370,Romford,07,London,
371,Romsey,08,South East,
372,Rossendale and Darwen,02,North West,
373,Rother Valley,03,Yorkshire and The Humber,
374,Rotherham,03,Yorkshire and The Humber,
375,Rugby and Kenilworth,05,West Midlands,
376,Ruislip-Northwood,07,London,
377,Runnymede and Weybridge,08,South East,
378,Rushcliffe,04,East Midlands,
379,Rutland and Melton,04,East Midlands,
380,Ryedale,03,Yorkshire and The Humber,
381,Saffron Walden,06,Eastern,
382,St. Albans,06,Eastern,
383,St. Helens North,02,North West,
384,St. Helens South,02,North West,
385,St. Ives,09,South West,
386,Salford,02,North West,
387,Salisbury,09,South West,
388,Scarborough and Whitby,03,Yorkshire and The Humber,
389,Scunthorpe,03,Yorkshire and The Humber,
390,Sedgefield,01,North East,
391,Selby,03,Yorkshire and The Humber,
392,Sevenoaks,08,South East,
393,"Sheffield, Attercliffe",03,Yorkshire and The Humber,
394,"Sheffield, Brightside",03,Yorkshire and The Humber,
395,Sheffield Central,03,Yorkshire and The Humber,
396,"Sheffield, Hallam",03,Yorkshire and The Humber,
397,"Sheffield, Heeley",03,Yorkshire and The Humber,
398,"Sheffield, Hillsborough",03,Yorkshire and The Humber,
399,Sherwood,04,East Midlands,
400,Shipley,03,Yorkshire and The Humber,
401,Shrewsbury and Atcham,05,West Midlands,
402,Sittingbourne and Sheppey,08,South East,
403,Skipton and Ripon,03,Yorkshire and The Humber,
404,Sleaford and North Hykeham,04,East Midlands,
405,Slough,08,South East,
406,Solihull,05,West Midlands,
407,Somerton and Frome,09,South West,
408,South Cambridgeshire,06,Eastern,
409,South Derbyshire,04,East Midlands,
410,South Dorset,09,South West,
411,South East Cambridgeshire,06,Eastern,
412,South East Cornwall,09,South West,
413,South Holland and The Deepings,04,East Midlands,
414,South Norfolk,06,Eastern,
415,South Ribble,02,North West,
416,South Shields,01,North East,
417,South Staffordshire,05,West Midlands,
418,South Suffolk,06,Eastern,
419,South Swindon,09,South West,
420,South Thanet,08,South East,
421,South West Bedfordshire,06,Eastern,
422,South West Devon,09,South West,
423,South West Hertfordshire,06,Eastern,
424,South West Norfolk,06,Eastern,
425,South West Surrey,08,South East,
426,"Southampton, Itchen",08,South East,
427,"Southampton, Test",08,South East,
428,Southend West,06,Eastern,
429,Southport,02,North West,
430,Spelthorne,08,South East,
431,Stafford,05,West Midlands,
432,Staffordshire Moorlands,05,West Midlands,
433,Stalybridge and Hyde,02,North West,
434,Stevenage,06,Eastern,
435,Stockport,02,North West,
436,Stockton North,01,North East,
437,Stockton South,01,North East,
438,Stoke-on-Trent Central,05,West Midlands,
439,Stoke-on-Trent North,05,West Midlands,
440,Stoke-on-Trent South,05,West Midlands,
441,Stone,05,West Midlands,
442,Stourbridge,05,West Midlands,
443,Stratford-on-Avon,05,West Midlands,
444,Streatham,07,London,
445,Stretford and Urmston,02,North West,
446,Stroud,09,South West,
447,Suffolk Coastal,06,Eastern,
448,Sunderland North,01,North East,
449,Sunderland South,01,North East,
450,Surrey Heath,08,South East,
451,Sutton and Cheam,07,London,
452,Sutton Coldfield,05,West Midlands,
453,Tamworth,05,West Midlands,
454,Tatton,02,North West,
455,Taunton,09,South West,
456,Teignbridge,09,South West,
457,Telford,05,West Midlands,
458,Tewkesbury,09,South West,
459,The Wrekin,05,West Midlands,
460,Thurrock,06,Eastern,
461,Tiverton and Honiton,09,South West,
462,Tonbridge and Malling,08,South East,
463,Tooting,07,London,
464,Torbay,09,South West,
465,Torridge and West Devon,09,South West,
466,Totnes,09,South West,
467,Tottenham,07,London,
468,Truro and St. Austell,09,South West,
469,Tunbridge Wells,08,South East,
470,Twickenham,07,London,
471,Tyne Bridge,01,North East,
472,Tynemouth,01,North East,
473,Upminster,07,London,
474,Uxbridge,07,London,
475,Vale of York,03,Yorkshire and The Humber,
476,Vauxhall,07,London,
477,Wakefield,03,Yorkshire and The Humber,
478,Wallasey,02,North West,
479,Walsall North,05,West Midlands,
480,Walsall South,05,West Midlands,
481,Walthamstow,07,London,
482,Wansbeck,01,North East,
483,Wansdyke,09,South West,
484,Wantage,08,South East,
485,Warley,05,West Midlands,
486,Warrington North,02,North West,
487,Warrington South,02,North West,
488,Warwick and Leamington,05,West Midlands,
489,Watford,06,Eastern,
490,Waveney,06,Eastern,
491,Wealden,08,South East,
492,Weaver Vale,02,North West,
493,Wellingborough,04,East Midlands,
494,Wells,09,South West,
495,Welwyn Hatfield,06,Eastern,
496,Wentworth,03,Yorkshire and The Humber,
497,West Bromwich East,05,West Midlands,
498,West Bromwich West,05,West Midlands,
499,West Chelmsford,06,Eastern,
500,West Derbyshire,04,East Midlands,
501,West Dorset,09,South West,
502,West Ham,07,London,
503,West Lancashire,02,North West,
504,West Suffolk,06,Eastern,
505,West Worcestershire,05,West Midlands,
506,Westbury,09,South West,
507,Westmorland and Lonsdale,02,North West,
