SPC08CD,SPC08NM,SPR08CD,SPR08NM,
01,Aberdeen Central,06,North East Scotland,
02,Aberdeen North,06,North East Scotland,
03,Aberdeen South,06,North East Scotland,
04,Airdrie and Shotts,01,Central Scotland,
05,Angus,06,North East Scotland,
06,Argyll and Bute,03,Highlands and Islands,
07,Ayr,07,South of Scotland,
08,Banff and Buchan,06,North East Scotland,
09,"Caithness, Sutherland and Easter Ross",03,Highlands and Islands,
10,"Carrick, Cumnock and Doon Valley",07,South of Scotland,
11,Central Fife,05,Mid Scotland and Fife,
12,Clydebank and Milngavie,08,West of Scotland,
13,Clydesdale,07,South of Scotland,
14,Coatbridge and Chryston,01,Central Scotland,
15,Cumbernauld and Kilsyth,01,Central Scotland,
16,Cunninghame North,08,West of Scotland,
17,Cunninghame South,07,South of Scotland,
18,Dumbarton,08,West of Scotland,
19,Dumfries,07,South of Scotland,
20,Dundee East,06,North East Scotland,
21,Dundee West,06,North East Scotland,
22,Dunfermline East,05,Mid Scotland and Fife,
23,Dunfermline West,05,Mid Scotland and Fife,
24,East Kilbride,01,Central Scotland,
25,East Lothian,07,South of Scotland,
26,Eastwood,08,West of Scotland,
27,Edinburgh Central,04,Lothians,
28,Edinburgh East and Musselburgh,04,Lothians,
29,Edinburgh North and Leith,04,Lothians,
30,Edinburgh Pentlands,04,Lothians,
31,Edinburgh South,04,Lothians,
32,Edinburgh West,04,Lothians,
33,Falkirk East,01,Central Scotland,
34,Falkirk West,01,Central Scotland,
35,Galloway and Upper Nithsdale,07,South of Scotland,
36,Glasgow Anniesland,02,Glasgow,
37,Glasgow Baillieston,02,Glasgow,
38,Glasgow Cathcart,02,Glasgow,
39,Glasgow Govan,02,Glasgow,
40,Glasgow Kelvin,02,Glasgow,
41,Glasgow Maryhill,02,Glasgow,
42,Glasgow Pollok,02,Glasgow,
43,Glasgow Rutherglen,02,Glasgow,
44,Glasgow Shettleston,02,Glasgow,
45,Glasgow Springburn,02,Glasgow,
46,Gordon,06,North East Scotland,
47,Greenock and Inverclyde,08,West of Scotland,
48,Hamilton North and Bellshill,01,Central Scotland,
49,Hamilton South,01,Central Scotland,
50,"Inverness East, Nairn and Lochaber",03,Highlands and Islands,
51,Kilmarnock and Loudoun,01,Central Scotland,
52,Kirkcaldy,05,Mid Scotland and Fife,
53,Linlithgow,04,Lothians,
54,Livingston,04,Lothians,
55,Midlothian,04,Lothians,
56,Moray,03,Highlands and Islands,
57,Motherwell and Wishaw,01,Central Scotland,
58,North East Fife,05,Mid Scotland and Fife,
59,North Tayside,05,Mid Scotland and Fife,
60,Ochil,05,Mid Scotland and Fife,
61,Orkney Islands,03,Highlands and Islands,
62,Paisley North,08,West of Scotland,
63,Paisley South,08,West of Scotland,
64,Perth,05,Mid Scotland and Fife,
65,"Ross, Skye and Inverness West",03,Highlands and Islands,
66,Roxburgh and Berwickshire,07,South of Scotland,
67,Shetland Islands,03,Highlands and Islands,
68,Stirling,05,Mid Scotland and Fife,
69,Strathkelvin and Bearsden,08,West of Scotland,
70,"Tweeddale, Ettrick and Lauderdale",07,South of Scotland,
71,West Aberdeenshire and Kincardine,06,North East Scotland,
72,West Renfrewshire,08,West of Scotland,
73,Western Isles,03,Highlands and Islands,
