UA08CD,UA08NM,WD08CD,WD08NM,NARCA08CD,NARCA08NM
00NA,Isle of Anglesey,,,RCA1,North Wales
00NC,Gwynedd,00NCQA,Aberdaron,RCA1,North Wales
00NC,Gwynedd,00NCQB,Aberdovey,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQC,Abererch,RCA1,North Wales
00NC,Gwynedd,00NCQD,Abermaw,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQE,Abersoch,RCA1,North Wales
00NC,Gwynedd,00NCQF,Arllechwedd,RCA1,North Wales
00NC,Gwynedd,00NCQG,Bala,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQH,Bethel,RCA1,North Wales
00NC,Gwynedd,00NCQJ,Bontnewydd,RCA1,North Wales
00NC,Gwynedd,00NCQK,Botwnnog,RCA1,North Wales
00NC,Gwynedd,00NCQL,Bowydd and Rhiw,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQM,Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQN,Bryn-crug/Llanfihangel,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQP,Cadnant,RCA1,North Wales
00NC,Gwynedd,00NCQQ,Clynnog,RCA1,North Wales
00NC,Gwynedd,00NCQR,Corris/Mawddwy,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQS,Criccieth,RCA1,North Wales
00NC,Gwynedd,00NCQT,Cwm-y-Glo,RCA1,North Wales
00NC,Gwynedd,00NCQU,Deiniol,RCA1,North Wales
00NC,Gwynedd,00NCQW,Deiniolen,RCA1,North Wales
00NC,Gwynedd,00NCQX,Dewi,RCA1,North Wales
00NC,Gwynedd,00NCQY,Diffwys and Maenofferen,RCA2,Mid and West Wales
00NC,Gwynedd,00NCQZ,Dolbenmaen,RCA1,North Wales
00NC,Gwynedd,00NCRA,Dolgellau North,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRB,Dolgellau South,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRC,Dyffryn Ardudwy,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRD,Efail-newydd/Buan,RCA1,North Wales
00NC,Gwynedd,00NCRE,Garth,RCA1,North Wales
00NC,Gwynedd,00NCRF,Gerlan,RCA1,North Wales
00NC,Gwynedd,00NCRG,Glyder,RCA1,North Wales
00NC,Gwynedd,00NCRH,Groeslon,RCA1,North Wales
00NC,Gwynedd,00NCRJ,Harlech,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRK,Hendre,RCA1,North Wales
00NC,Gwynedd,00NCRL,Hirael,RCA1,North Wales
00NC,Gwynedd,00NCRM,Llanaelhaearn,RCA1,North Wales
00NC,Gwynedd,00NCRN,Llanbedr,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRP,Llanbedrog,RCA1,North Wales
00NC,Gwynedd,00NCRQ,Llanberis,RCA1,North Wales
00NC,Gwynedd,00NCRR,Llandderfel,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRS,Llanengan,RCA1,North Wales
00NC,Gwynedd,00NCRT,Llangelynin,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRU,Llanllyfni,RCA1,North Wales
00NC,Gwynedd,00NCRW,Llanrug,RCA1,North Wales
00NC,Gwynedd,00NCRX,Llanuwchllyn,RCA2,Mid and West Wales
00NC,Gwynedd,00NCRY,Llanwnda,RCA1,North Wales
00NC,Gwynedd,00NCRZ,Llanystumdwy,RCA1,North Wales
00NC,Gwynedd,00NCSA,Marchog,RCA1,North Wales
00NC,Gwynedd,00NCSB,Menai (Bangor),RCA1,North Wales
00NC,Gwynedd,00NCSC,Menai (Caernarfon),RCA1,North Wales
00NC,Gwynedd,00NCSD,Morfa Nefyn,RCA1,North Wales
00NC,Gwynedd,00NCSE,Nefyn,RCA1,North Wales
00NC,Gwynedd,00NCSF,Ogwen,RCA1,North Wales
00NC,Gwynedd,00NCSG,Peblig (Caernarfon),RCA1,North Wales
00NC,Gwynedd,00NCSH,Penisarwaun,RCA1,North Wales
00NC,Gwynedd,00NCSJ,Penrhyndeudraeth,RCA2,Mid and West Wales
00NC,Gwynedd,00NCSK,Pentir,RCA1,North Wales
00NC,Gwynedd,00NCSL,Penygroes,RCA1,North Wales
00NC,Gwynedd,00NCSM,Porthmadog East,RCA1,North Wales
00NC,Gwynedd,00NCSN,Porthmadog West,RCA1,North Wales
00NC,Gwynedd,00NCSP,Porthmadog-Tremadog,RCA1,North Wales
00NC,Gwynedd,00NCSQ,Pwllheli North,RCA1,North Wales
00NC,Gwynedd,00NCSR,Pwllheli South,RCA1,North Wales
00NC,Gwynedd,00NCST,Seiont,RCA1,North Wales
00NC,Gwynedd,00NCSU,Talysarn,RCA1,North Wales
00NC,Gwynedd,00NCSW,Teigl,RCA2,Mid and West Wales
00NC,Gwynedd,00NCSX,Trawsfynydd,RCA2,Mid and West Wales
00NC,Gwynedd,00NCSY,Tregarth & Mynydd Llandygai,RCA1,North Wales
00NC,Gwynedd,00NCSZ,Tudweiliog,RCA1,North Wales
00NC,Gwynedd,00NCTA,Tywyn,RCA2,Mid and West Wales
00NC,Gwynedd,00NCTB,Waunfawr,RCA1,North Wales
00NC,Gwynedd,00NCTC,Y Felinheli,RCA1,North Wales
00NE,Conwy,00NENT,Abergele Pensarn,RCA1,North Wales
00NE,Conwy,00NENU,Betws-y-Coed,RCA2,Mid and West Wales
00NE,Conwy,00NENW,Betws yn Rhos,RCA1,North Wales
00NE,Conwy,00NENX,Bryn,RCA1,North Wales
00NE,Conwy,00NENY,Caerhun,RCA1,North Wales
00NE,Conwy,00NENZ,Capelulo,RCA1,North Wales
00NE,Conwy,00NEPA,Colwyn,RCA1,North Wales
00NE,Conwy,00NEPB,Conwy,RCA1,North Wales
00NE,Conwy,00NEPC,Craig-y-Don,RCA1,North Wales
00NE,Conwy,00NEPD,Crwst,RCA2,Mid and West Wales
00NE,Conwy,00NEPE,Deganwy,RCA1,North Wales
00NE,Conwy,00NEPF,Eglwysbach,RCA2,Mid and West Wales
