WD08CD,WD08NM,PCO08CD,PCO08NM,
00NAMQ,Holyhead Town,6B1,Anglesey,
00NAMR,Kingsland,6B1,Anglesey,
00NAMS,Llanbadrig,6B1,Anglesey,
00NAMT,Llanbedrgoch,6B1,Anglesey,
00NAMU,Llanddyfnan,6B1,Anglesey,
00NAMW,Llaneilian,6B1,Anglesey,
00NAMX,Llanfaethlu,6B1,Anglesey,
00NAMY,Llanfair-yn-Neubwll,6B1,Anglesey,
00NAMZ,Llanfihangel Ysgeifiog,6B1,Anglesey,
00NANA,Llangoed,6B1,Anglesey,
00NANB,Llanidan,6B1,Anglesey,
00NANC,Llannerch-y-medd,6B1,Anglesey,
00NAND,London Road,6B1,Anglesey,
00NANE,Maeshyfryd,6B1,Anglesey,
00NANF,Mechell,6B1,Anglesey,
00NANG,Moelfre,6B1,Anglesey,
00NANH,Morawelon,6B1,Anglesey,
00NANJ,Parc a'r Mynydd,6B1,Anglesey,
00NANK,Pentraeth,6B1,Anglesey,
00NANL,Porthyfelin,6B1,Anglesey,
00NANM,Rhosneigr,6B1,Anglesey,
00NANN,Rhosyr,6B1,Anglesey,
00NANP,Trearddur,6B1,Anglesey,
00NANQ,Tudur,6B1,Anglesey,
00NANR,Tysilio,6B1,Anglesey,
00NANS,Valley,6B1,Anglesey,
00NCQA,Aberdaron,6A2,Gwynedd,
00NCQB,Aberdovey,6A2,Gwynedd,
00NCQC,Abererch,6A2,Gwynedd,
00NCQD,Abermaw,6A2,Gwynedd,
00NCQE,Abersoch,6A2,Gwynedd,
00NCQF,Arllechwedd,6A2,Gwynedd,
00NCQG,Bala,6A2,Gwynedd,
00NCQH,Bethel,6A2,Gwynedd,
00NCQJ,Bontnewydd,6A2,Gwynedd,
00NCQK,Botwnnog,6A2,Gwynedd,
00NCQL,Bowydd and Rhiw,6A2,Gwynedd,
00NCQM,Brithdir and Llanfachreth/Ganllwyd/Llanelltyd,6A2,Gwynedd,
00NCQN,Bryn-crug/Llanfihangel,6A2,Gwynedd,
00NCQP,Cadnant,6A2,Gwynedd,
00NCQQ,Clynnog,6A2,Gwynedd,
00NCQR,Corris/Mawddwy,6A2,Gwynedd,
00NCQS,Criccieth,6A2,Gwynedd,
00NCQT,Cwm-y-Glo,6A2,Gwynedd,
00NCQU,Deiniol,6A2,Gwynedd,
00NCQW,Deiniolen,6A2,Gwynedd,
00NCQX,Dewi,6A2,Gwynedd,
00NCQY,Diffwys and Maenofferen,6A2,Gwynedd,
00NCQZ,Dolbenmaen,6A2,Gwynedd,
00NCRA,Dolgellau North,6A2,Gwynedd,
00NCRB,Dolgellau South,6A2,Gwynedd,
00NCRC,Dyffryn Ardudwy,6A2,Gwynedd,
00NCRD,Efail-newydd/Buan,6A2,Gwynedd,
00NCRE,Garth,6A2,Gwynedd,
00NCRF,Gerlan,6A2,Gwynedd,
00NCRG,Glyder,6A2,Gwynedd,
00NCRH,Groeslon,6A2,Gwynedd,
00NCRJ,Harlech,6A2,Gwynedd,
00NCRK,Hendre,6A2,Gwynedd,
00NCRL,Hirael,6A2,Gwynedd,
00NCRM,Llanaelhaearn,6A2,Gwynedd,
00NCRN,Llanbedr,6A2,Gwynedd,
00NCRP,Llanbedrog,6A2,Gwynedd,
00NCRQ,Llanberis,6A2,Gwynedd,
00NCRR,Llandderfel,6A2,Gwynedd,
00NCRS,Llanengan,6A2,Gwynedd,
00NCRT,Llangelynin,6A2,Gwynedd,
00NCRU,Llanllyfni,6A2,Gwynedd,
00NCRW,Llanrug,6A2,Gwynedd,
00NCRX,Llanuwchllyn,6A2,Gwynedd,
00NCRY,Llanwnda,6A2,Gwynedd,
00NCRZ,Llanystumdwy,6A2,Gwynedd,
00NCSA,Marchog,6A2,Gwynedd,
00NCSB,Menai (Bangor),6A2,Gwynedd,
00NCSC,Menai (Caernarfon),6A2,Gwynedd,
00NCSD,Morfa Nefyn,6A2,Gwynedd,
00NCSE,Nefyn,6A2,Gwynedd,
00NCSF,Ogwen,6A2,Gwynedd,
00NCSG,Peblig (Caernarfon),6A2,Gwynedd,
00NCSH,Penisarwaun,6A2,Gwynedd,
00NCSJ,Penrhyndeudraeth,6A2,Gwynedd,
00NCSK,Pentir,6A2,Gwynedd,
00NCSL,Penygroes,6A2,Gwynedd,
00NCSM,Porthmadog East,6A2,Gwynedd,
00NCSN,Porthmadog West,6A2,Gwynedd,
00NCSP,Porthmadog-Tremadog,6A2,Gwynedd,
00NCSQ,Pwllheli North,6A2,Gwynedd,
00NCSR,Pwllheli South,6A2,Gwynedd,
00NCST,Seiont,6A2,Gwynedd,
00NCSU,Talysarn,6A2,Gwynedd,
00NCSW,Teigl,6A2,Gwynedd,
00NCSX,Trawsfynydd,6A2,Gwynedd,
00NCSY,Tregarth & Mynydd Llandygai,6A2,Gwynedd,
00NCSZ,Tudweiliog,6A2,Gwynedd,
00NCTA,Tywyn,6A2,Gwynedd,
00NCTB,Waunfawr,6A2,Gwynedd,
00NCTC,Y Felinheli,6A2,Gwynedd,
00NENT,Abergele Pensarn,6A7,Conwy,
00NENU,Betws-y-Coed,6A7,Conwy,
00NENW,Betws yn Rhos,6A7,Conwy,
00NENX,Bryn,6A7,Conwy,
00NENY,Caerhun,6A7,Conwy,
00NENZ,Capelulo,6A7,Conwy,
00NEPA,Colwyn,6A7,Conwy,
00NEPB,Conwy,6A7,Conwy,
00NEPC,Craig-y-Don,6A7,Conwy,
00NEPD,Crwst,6A7,Conwy,
00NEPE,Deganwy,6A7,Conwy,
00NEPF,Eglwysbach,6A7,Conwy,
00NEPG,Eirias,6A7,Conwy,
00NEPH,Gele,6A7,Conwy,
00NEPJ,Glyn,6A7,Conwy,
00NEPK,Gogarth,6A7,Conwy,
00NEPL,Gower,6A7,Conwy,
00NEPM,Kinmel Bay,6A7,Conwy,
00NEPN,Llanddulas,6A7,Conwy,
00NEPP,Llandrillo yn Rhos,6A7,Conwy,
00NEPQ,Llangernyw,6A7,Conwy,
00NEPR,Llansanffraid,6A7,Conwy,
00NEPS,Llansannan,6A7,Conwy,
00NEPT,Llysfaen,6A7,Conwy,
00NEPU,Marl,6A7,Conwy,
00NEPW,Mochdre,6A7,Conwy,
00NEPX,Mostyn,6A7,Conwy,
00NEPY,Pandy,6A7,Conwy,
00NEPZ,Pant-yr-afon/Penmaenan,6A7,Conwy,
00NEQA,Penrhyn,6A7,Conwy,
00NEQB,Pensarn,6A7,Conwy,
00NEQC,Pentre Mawr,6A7,Conwy,
00NEQD,Rhiw,6A7,Conwy,
00NEQE,Towyn,6A7,Conwy,
00NEQF,Trefriw,6A7,Conwy,
00NEQG,Tudno,6A7,Conwy,
00NEQH,Uwch Conwy,6A7,Conwy,
00NEQJ,Uwchaled,6A7,Conwy,
00NGNK,Bodelwyddan,6C1,Denbighshire,
00NGNL,Corwen,6C1,Denbighshire,
00NGNM,Denbigh Central,6C1,Denbighshire,
00NGNN,Denbigh Lower,6C1,Denbighshire,
00NGNP,Denbigh Upper/Henllan,6C1,Denbighshire,
00NGNQ,Dyserth,6C1,Denbighshire,
00NGNR,Efenechtyd,6C1,Denbighshire,
00NGNS,Llanarmon-yn-Ial/Llandegla,6C1,Denbighshire,
00NGNT,Llanbedr Dyffryn Clwyd/Llangynhafal,6C1,Denbighshire,
00NGNU,Llandrillo,6C1,Denbighshire,
00NGNW,Llandyrnog,6C1,Denbighshire,
00NGNX,Llanfair Dyffryn Clwyd/Gwyddelwern,6C1,Denbighshire,
00NGNY,Llangollen,6C1,Denbighshire,
00NGNZ,Llanrhaeadr-yng-Nghinmeirch,6C1,Denbighshire,
00NGPA,Prestatyn Central,6C1,Denbighshire,
00NGPB,Prestatyn East,6C1,Denbighshire,
00NGPC,Prestatyn Meliden,6C1,Denbighshire,
00NGPD,Prestatyn North,6C1,Denbighshire,
00NGPE,Prestatyn South West,6C1,Denbighshire,
00NGPF,Rhuddlan,6C1,Denbighshire,
00NGPG,Rhyl East,6C1,Denbighshire,
00NGPH,Rhyl South,6C1,Denbighshire,
00NGPJ,Rhyl South East,6C1,Denbighshire,
00NGPK,Rhyl South West,6C1,Denbighshire,
00NGPL,Rhyl West,6C1,Denbighshire,
00NGPM,Ruthin,6C1,Denbighshire,
00NGPN,St. Asaph East,6C1,Denbighshire,
00NGPP,St. Asaph West,6C1,Denbighshire,
00NGPQ,Trefnant,6C1,Denbighshire,
00NGPR,Tremeirchion,6C1,Denbighshire,
00NJPJ,Argoed,6B5,Flintshire,
00NJPK,Aston,6B5,Flintshire,
00NJPL,Bagillt East,6B5,Flintshire,
00NJPM,Bagillt West,6B5,Flintshire,
00NJPN,Broughton North East,6B5,Flintshire,
00NJPP,Broughton South,6B5,Flintshire,
00NJPQ,Brynford,6B5,Flintshire,
00NJPR,Buckley Bistre East,6B5,Flintshire,
00NJPS,Buckley Bistre West,6B5,Flintshire,
00NJPT,Buckley Mountain,6B5,Flintshire,
00NJPU,Buckley Pentrobin,6B5,Flintshire,
00NJPW,Caergwrle,6B5,Flintshire,
00NJPX,Caerwys,6B5,Flintshire,
00NJPY,Cilcain,6B5,Flintshire,
00NJPZ,Connah's Quay Central,6B5,Flintshire,
00NJQA,Connah's Quay Golftyn,6B5,Flintshire,
00NJQB,Connah's Quay South,6B5,Flintshire,
00NJQC,Connah's Quay Wepre,6B5,Flintshire,
00NJQD,Ewloe,6B5,Flintshire,
00NJQE,Ffynnongroyw,6B5,Flintshire,
00NJQF,Flint Castle,6B5,Flintshire,
00NJQG,Flint Coleshill,6B5,Flintshire,
00NJQH,Flint Oakenholt,6B5,Flintshire,
00NJQJ,Flint Trelawny,6B5,Flintshire,
00NJQK,Greenfield,6B5,Flintshire,
00NJQL,Gronant,6B5,Flintshire,
00NJQM,Gwernaffield,6B5,Flintshire,
00NJQN,Gwernymynydd,6B5,Flintshire,
00NJQP,Halkyn,6B5,Flintshire,
00NJQQ,Hawarden,6B5,Flintshire,
00NJQR,Higher Kinnerton,6B5,Flintshire,
00NJQS,Holywell Central,6B5,Flintshire,
00NJQT,Holywell East,6B5,Flintshire,
00NJQU,Holywell West,6B5,Flintshire,
00NJQW,Hope,6B5,Flintshire,
00NJQX,Leeswood,6B5,Flintshire,
00NJQY,Llanfynydd,6B5,Flintshire,
00NJQZ,Mancot,6B5,Flintshire,
00NJRA,Mold Broncoed,6B5,Flintshire,
00NJRB,Mold East,6B5,Flintshire,
00NJRC,Mold South,6B5,Flintshire,
00NJRD,Mold West,6B5,Flintshire,
00NJRE,Mostyn,6B5,Flintshire,
00NJRF,New Brighton,6B5,Flintshire,
00NJRG,Northop,6B5,Flintshire,
00NJRH,Northop Hall,6B5,Flintshire,
00NJRJ,Penyffordd,6B5,Flintshire,
00NJRK,Queensferry,6B5,Flintshire,
00NJRL,Saltney Mold Junction,6B5,Flintshire,
00NJRM,Saltney Stonebridge,6B5,Flintshire,
00NJRN,Sealand,6B5,Flintshire,
00NJRP,Shotton East,6B5,Flintshire,
00NJRQ,Shotton Higher,6B5,Flintshire,
00NJRR,Shotton West,6B5,Flintshire,
00NJRS,Trelawnyd and Gwaenysgor,6B5,Flintshire,
00NJRT,Treuddyn,6B5,Flintshire,
00NJRU,Whitford,6B5,Flintshire,
00NLNW,Acton,6B4,Wrexham,
00NLNX,Borras Park,6B4,Wrexham,
00NLNY,Bronington,6B4,Wrexham,
00NLNZ,Brymbo,6B4,Wrexham,
00NLPA,Brynyffynnon,6B4,Wrexham,
00NLPB,Bryn Cefn,6B4,Wrexham,
00NLPC,Cartrefle,6B4,Wrexham,
00NLPD,Cefn,6B4,Wrexham,
00NLPE,Dyffryn Ceiriog/Ceiriog Valley,6B4,Wrexham,
00NLPF,Chirk North,6B4,Wrexham,
00NLPG,Chirk South,6B4,Wrexham,
00NLPH,Coedpoeth,6B4,Wrexham,
00NLPJ,Erddig,6B4,Wrexham,
00NLPK,Esclusham,6B4,Wrexham,
00NLPL,Garden Village,6B4,Wrexham,
00NLPM,Gresford East and West,6B4,Wrexham,
00NLPN,Grosvenor,6B4,Wrexham,
00NLPP,Gwenfro,6B4,Wrexham,
00NLPQ,Gwersyllt East and South,6B4,Wrexham,
00NLPR,Gwersyllt North,6B4,Wrexham,
00NLPS,Gwersyllt West,6B4,Wrexham,
00NLPT,Hermitage,6B4,Wrexham,
00NLPU,Holt,6B4,Wrexham,
00NLPW,Johnstown,6B4,Wrexham,
00NLPX,Little Acton,6B4,Wrexham,
00NLPY,Llangollen Rural,6B4,Wrexham,
00NLPZ,Llay,6B4,Wrexham,
00NLQA,Maesydre,6B4,Wrexham,
00NLQB,Marchwiel,6B4,Wrexham,
00NLQC,Marford and Hoseley,6B4,Wrexham,
00NLQD,Minera,6B4,Wrexham,
00NLQE,New Broughton,6B4,Wrexham,
00NLQF,Offa,6B4,Wrexham,
00NLQG,Overton,6B4,Wrexham,
00NLQH,Pant,6B4,Wrexham,
00NLQJ,Penycae,6B4,Wrexham,
00NLQK,Penycae and Ruabon South,6B4,Wrexham,
00NLQL,Plas Madoc,6B4,Wrexham,
00NLQM,Ponciau,6B4,Wrexham,
00NLQN,Queensway,6B4,Wrexham,
00NLQP,Rhosnesni,6B4,Wrexham,
00NLQQ,Rossett,6B4,Wrexham,
00NLQR,Ruabon,6B4,Wrexham,
00NLQS,Smithfield,6B4,Wrexham,
00NLQT,Stansty,6B4,Wrexham,
00NLQU,Whitegate,6B4,Wrexham,
00NLQW,Wynnstay,6B4,Wrexham,
00NNQG,Aber-craf,6C4,Powys Teaching,
00NNQH,Banwy,6C4,Powys Teaching,
00NNQJ,Beguildy,6C4,Powys Teaching,
00NNQK,Berriew,6C4,Powys Teaching,
00NNQL,Blaen Hafren,6C4,Powys Teaching,
00NNQM,Bronllys,6C4,Powys Teaching,
00NNQN,Builth,6C4,Powys Teaching,
00NNQP,Bwlch,6C4,Powys Teaching,
00NNQQ,Caersws,6C4,Powys Teaching,
00NNQR,Churchstoke,6C4,Powys Teaching,
00NNQS,Crickhowell,6C4,Powys Teaching,
00NNQT,Cwm-twrch,6C4,Powys Teaching,
00NNQU,Disserth and Trecoed,6C4,Powys Teaching,
00NNQW,Dolforwyn,6C4,Powys Teaching,
00NNQX,Felin-fâch,6C4,Powys Teaching,
00NNQY,Forden,6C4,Powys Teaching,
00NNQZ,Glantwymyn,6C4,Powys Teaching,
00NNRA,Glasbury,6C4,Powys Teaching,
00NNRB,Guilsfield,6C4,Powys Teaching,
00NNRC,Gwernyfed,6C4,Powys Teaching,
00NNRD,Hay,6C4,Powys Teaching,
00NNRE,Kerry,6C4,Powys Teaching,
00NNRF,Knighton,6C4,Powys Teaching,
00NNRG,Llanafanfawr,6C4,Powys Teaching,
00NNRH,Llanbadarn Fawr,6C4,Powys Teaching,
00NNRJ,Llanbrynmair,6C4,Powys Teaching,
00NNRK,Llandinam,6C4,Powys Teaching,
00NNRL,Llandrindod East/Llandrindod West,6C4,Powys Teaching,
00NNRM,Llandrindod North,6C4,Powys Teaching,
00NNRN,Llandrindod South,6C4,Powys Teaching,
00NNRP,Llandrinio,6C4,Powys Teaching,
00NNRQ,Llandysilio,6C4,Powys Teaching,
00NNRR,Llanelwedd,6C4,Powys Teaching,
00NNRS,Llanfair Caereinion,6C4,Powys Teaching,
00NNRT,Llanfihangel,6C4,Powys Teaching,
00NNRU,Llanfyllin,6C4,Powys Teaching,
00NNRW,Llangattock,6C4,Powys Teaching,
00NNRX,Llangors,6C4,Powys Teaching,
00NNRY,Llangunllo,6C4,Powys Teaching,
00NNRZ,Llangynidr,6C4,Powys Teaching,
00NNSA,Llanidloes,6C4,Powys Teaching,
00NNSB,Llanwddyn,6C4,Powys Teaching,
