WD08CD,WD08NM,REGD08CD,REGD08NM,PAR08CD,PAR08NM
00AAFA,Aldersgate,243,London City,,
00AAFB,Aldgate,243,London City,,
00AAFC,Bassishaw,243,London City,,
00AAFD,Billingsgate,243,London City,,
00AAFE,Bishopsgate,243,London City,,
00AAFF,Bread Street,243,London City,,
00AAFG,Bridge,243,London City,,
00AAFH,Broad Street,243,London City,,
00AAFJ,Candlewick,243,London City,,
00AAFK,Castle Baynard,243,London City,,
00AAFL,Cheap,243,London City,,
00AAFM,Coleman Street,243,London City,,
00AAFN,Cordwainer,243,London City,,
00AAFP,Cornhill,243,London City,,
00AAFQ,Cripplegate,243,London City,,
00AAFR,Dowgate,243,London City,,
00AAFS,Farringdon Within,243,London City,,
00AAFT,Farringdon Without,243,London City,,
00AAFU,Langbourn,243,London City,,
00AAFW,Lime Street,243,London City,,
00AAFX,Portsoken,243,London City,,
00AAFY,Queenhithe,243,London City,,
00AAFZ,Tower,243,London City,,
00AAGA,Vintry,243,London City,,
00AAGB,Walbrook,243,London City,,
00ABFX,Abbey,218,Barking and Dagenham,,
00ABFY,Alibon,218,Barking and Dagenham,,
00ABFZ,Becontree,218,Barking and Dagenham,,
00ABGA,Chadwell Heath,218,Barking and Dagenham,,
00ABGB,Eastbrook,218,Barking and Dagenham,,
00ABGC,Eastbury,218,Barking and Dagenham,,
00ABGD,Gascoigne,218,Barking and Dagenham,,
00ABGE,Goresbrook,218,Barking and Dagenham,,
00ABGF,Heath,218,Barking and Dagenham,,
00ABGG,Longbridge,218,Barking and Dagenham,,
00ABGH,Mayesbrook,218,Barking and Dagenham,,
00ABGJ,Parsloes,218,Barking and Dagenham,,
00ABGK,River,218,Barking and Dagenham,,
00ABGL,Thames,218,Barking and Dagenham,,
00ABGM,Valence,218,Barking and Dagenham,,
00ABGN,Village,218,Barking and Dagenham,,
00ABGP,Whalebone,218,Barking and Dagenham,,
00ACFX,Brunswick Park,219,Barnet,,
00ACFY,Burnt Oak,219,Barnet,,
00ACFZ,Childs Hill,219,Barnet,,
00ACGA,Colindale,219,Barnet,,
00ACGB,Coppetts,219,Barnet,,
00ACGC,East Barnet,219,Barnet,,
00ACGD,East Finchley,219,Barnet,,
00ACGE,Edgware,219,Barnet,,
00ACGF,Finchley Church End,219,Barnet,,
00ACGG,Garden Suburb,219,Barnet,,
00ACGH,Golders Green,219,Barnet,,
00ACGJ,Hale,219,Barnet,,
00ACGK,Hendon,219,Barnet,,
00ACGL,High Barnet,219,Barnet,,
00ACGM,Mill Hill,219,Barnet,,
00ACGN,Oakleigh,219,Barnet,,
00ACGP,Totteridge,219,Barnet,,
00ACGQ,Underhill,219,Barnet,,
00ACGR,West Finchley,219,Barnet,,
00ACGS,West Hendon,219,Barnet,,
00ACGT,Woodhouse,219,Barnet,,
00ADGA,Barnehurst,220,Bexley,,
00ADGB,Belvedere,220,Bexley,,
00ADGC,Blackfen and Lamorbey,220,Bexley,,
00ADGD,Blendon and Penhill,220,Bexley,,
00ADGE,Brampton,220,Bexley,,
00ADGF,Christchurch,220,Bexley,,
00ADGG,Colyers,220,Bexley,,
