WDSTB03CD,WDSTB03NM,WDCAS03CD,WDCAS03NM,WDSTL03CD,WDSTL03NM
00AUGM,St Peter's,00AUGM,St Peter's,00AUGM,St Peter's
00AUGN,Tollington,00AUGN,Tollington,00AUGN,Tollington
00AWFY,Abingdon,00AWFY,Abingdon,00AWFY,Abingdon
00AWFZ,Brompton,00AWFZ,Brompton,00AWFZ,Brompton
00AWGA,Campden,00AWGA,Campden,00AWGA,Campden
00AWGB,Colville,00AWGB,Colville,00AWGB,Colville
00AWGC,Courtfield,00AWGC,Courtfield,00AWGC,Courtfield
00AWGD,Cremorne,00AWGD,Cremorne,00AWGD,Cremorne
00AWGE,Earl's Court,00AWGE,Earl's Court,00AWGE,Earl's Court
00AWGF,Golborne,00AWGF,Golborne,00AWGF,Golborne
00AWGG,Hans Town,00AWGG,Hans Town,00AWGG,Hans Town
00AWGH,Holland,00AWGH,Holland,00AWGH,Holland
00AWGJ,Norland,00AWGJ,Norland,00AWGJ,Norland
00AWGK,Notting Barns,00AWGK,Notting Barns,00AWGK,Notting Barns
00AWGL,Pembridge,00AWGL,Pembridge,00AWGL,Pembridge
00AWGM,Queen's Gate,00AWGM,Queen's Gate,00AWGM,Queen's Gate
00AWGN,Redcliffe,00AWGN,Redcliffe,00AWGN,Redcliffe
00AWGP,Royal Hospital,00AWGP,Royal Hospital,00AWGP,Royal Hospital
00AWGQ,St Charles,00AWGQ,St Charles,00AWGQ,St Charles
00AWGR,Stanley,00AWGR,Stanley,00AWGR,Stanley
00AXFX,Alexandra,00AXFX,Alexandra,00AXFX,Alexandra
00AXFY,Berrylands,00AXFY,Berrylands,00AXFY,Berrylands
00AXFZ,Beverley,00AXFZ,Beverley,00AXFZ,Beverley
00AXGA,Canbury,00AXGA,Canbury,00AXGA,Canbury
00AXGB,Chessington North and Hook,00AXGB,Chessington North and Hook,00AXGB,Chessington North and Hook
00AXGC,Chessington South,00AXGC,Chessington South,00AXGC,Chessington South
00AXGD,Coombe Hill,00AXGD,Coombe Hill,00AXGD,Coombe Hill
00AXGE,Coombe Vale,00AXGE,Coombe Vale,00AXGE,Coombe Vale
00AXGF,Grove,00AXGF,Grove,00AXGF,Grove
00AXGG,Norbiton,00AXGG,Norbiton,00AXGG,Norbiton
00AXGH,Old Malden,00AXGH,Old Malden,00AXGH,Old Malden
00AXGJ,St James,00AXGJ,St James,00AXGJ,St James
00AXGK,St Mark's,00AXGK,St Mark's,00AXGK,St Mark's
00AXGL,Surbiton Hill,00AXGL,Surbiton Hill,00AXGL,Surbiton Hill
00AJGX,South Acton,00AJGX,South Acton,00AJGX,South Acton
00AJGY,Southall Broadway,00AJGY,Southall Broadway,00AJGY,Southall Broadway
00AJGZ,Southall Green,00AJGZ,Southall Green,00AJGZ,Southall Green
00AJHA,Southfield,00AJHA,Southfield,00AJHA,Southfield
00AJHB,Walpole,00AJHB,Walpole,00AJHB,Walpole
